date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_before,away_elo_before,home_form,away_form,h2h_home_winrate
1990-04-22,Saint Vincent and the Grenadines,Dominica,2,1,CFU Caribbean Cup qualification,False,1500.0,1500.0,1.0,1.0,0.5
1990-04-22,United States,Colombia,0,1,Friendly,False,1480.758805545591,1474.651834686331,1.2,0.5,0.0
1990-04-25,England,Czechoslovakia,4,2,Friendly,False,1507.1987000039423,1478.8206594125593,3.0,0.0,0.5
1990-04-25,Germany,Uruguay,3,3,Friendly,False,1493.567720749436,1519.744725871917,0.0,2.0,0.5
1990-04-25,Republic of Ireland,Russia,1,0,Friendly,False,1507.1987000039423,1534.6333800216012,3.0,2.5,0.5
1990-04-25,Israel,Romania,1,4,Friendly,False,1493.0851414909682,1513.1351844247413,0.0,1.3333333333333333,0.5
1990-04-25,Scotland,German DR,0,1,Friendly,False,1506.805840117105,1511.790037570578,3.0,2.25,0.5
1990-04-25,Sweden,Wales,4,2,Friendly,False,1518.4142702585996,1492.8012999960577,1.25,0.0,0.5
1990-04-29,Barbados,Antigua and Barbuda,1,0,CFU Caribbean Cup qualification,False,1511.9794678713113,1477.3246124061277,2.0,0.3333333333333333,0.5
1990-04-29,Jamaica,Saint Kitts and Nevis,3,0,CFU Caribbean Cup qualification,False,1495.0895100838857,1510.7980500059134,1.5,3.0,0.5
1990-04-29,Suriname,Guyana,5,0,CFU Caribbean Cup qualification,False,1500.0,1500.0,1.0,1.0,0.5
1990-05-03,Austria,Argentina,1,1,Friendly,False,1527.2182596726143,1478.194159882895,2.3333333333333335,0.0,0.5
1990-05-04,Colombia,Poland,2,1,Marlboro Cup,True,1487.6143038678613,1525.7800524362608,1.0,2.0,0.5
1990-05-05,Brazil,Bulgaria,2,1,Friendly,False,1492.8012999960577,1500.0,0.0,1.0,0.5
1990-05-05,United States,Malta,1,0,Friendly,False,1467.7963363640608,1484.467907092182,1.2,0.5,0.5
1990-05-06,Cayman Islands,Jamaica,1,2,Friendly,False,1500.0,1508.425213766992,1.0,2.0,0.5
1990-05-06,Costa Rica,Poland,0,2,Marlboro Cup,True,1493.894638071759,1514.6859511900163,1.0,1.6,0.5
1990-05-08,Switzerland,Argentina,1,1,Friendly,False,1495.3956286723824,1482.2383921369556,1.5,0.3333333333333333,0.5
1990-05-09,United States,Poland,3,1,Friendly,False,1475.442904372662,1528.7893880156498,1.2,1.6,0.5
1990-05-13,Brazil,German DR,3,3,Friendly,False,1500.1920231025056,1524.458614020895,1.5,2.4,0.5
1990-05-13,Canada,Mexico,2,1,NAFU Championship,False,1500.0,1538.8284959322468,1.0,3.0,0.5
1990-05-13,Saint Lucia,Bermuda,0,2,CFU Caribbean Cup qualification,False,1492.931022044803,1475.8308709400617,0.0,1.0,0.5
1990-05-15,England,Denmark,1,0,Friendly,False,1516.8953632975397,1512.5838075078343,3.0,1.6666666666666667,0.5
1990-05-15,Grenada,Suriname,3,1,CFU Caribbean Cup qualification,True,1497.1987000039423,1514.3974000078847,1.0,3.0,0.5
1990-05-16,Republic of Ireland,Finland,1,1,Friendly,False,1515.1399513625825,1506.3417091402175,3.0,1.3333333333333333,0.5
1990-05-16,Israel,Russia,3,2,Friendly,False,1471.6277444236346,1526.692128662961,0.0,2.0,0.5
1990-05-16,Scotland,Egypt,1,3,Friendly,False,1494.1372636667877,1451.2098366347384,1.5,0.6,0.5
1990-05-17,Barbados,Suriname,5,0,Friendly,False,1518.2868520511142,1498.6554783512695,2.25,1.5,0.5
1990-05-18,Mauritania,Gambia,2,0,African Cup of Nations qualification,False,1500.0,1487.1987000039423,1.0,0.0,0.5
1990-05-18,Northern Ireland,Uruguay,1,0,Friendly,False,1487.5343942473544,1521.838113074887,0.0,1.75,0.5
1990-05-18,Zimbabwe,Eswatini,4,4,Friendly,False,1519.6555465363522,1497.7129085149452,2.0,1.5,0.5
1990-05-19,Scotland,Poland,1,1,Friendly,False,1473.2926296055268,1515.791562919676,1.0,1.0,0.5
1990-05-20,Guyana,Curaçao,1,1,CFU Caribbean Cup qualification,False,1485.6025999921153,1502.8012999960577,0.0,1.0,0.5
1990-05-20,Wales,Costa Rica,1,0,Friendly,False,1482.9998889066728,1479.7912012461252,0.0,0.75,0.5
1990-05-21,Poland,United Arab Emirates,4,0,Friendly,True,1517.4316297341306,1455.8115583021574,1.0,0.4,0.5
1990-05-21,Romania,Egypt,1,0,Friendly,False,1534.592581492075,1472.0544706959993,1.75,1.2,1.0
1990-05-22,England,Uruguay,1,2,Friendly,False,1523.9801069543078,1513.706785684861,3.0,1.4,0.5
1990-05-22,Israel,Argentina,1,2,Friendly,False,1480.3415570468617,1485.3848440337017,1.0,0.5,0.5
1990-05-26,Belgium,Romania,2,2,Friendly,False,1487.0135642924672,1540.228200624169,0.5,2.0,0.5
1990-05-26,Germany,Czechoslovakia,1,0,Friendly,False,1491.474333546466,1469.123996118962,0.5,0.0,0.5
1990-05-26,Egypt,Colombia,1,1,Friendly,False,1466.4188515639053,1498.7084051141055,1.2,1.6,0.5
1990-05-26,Yugoslavia,Spain,0,1,Friendly,False,1503.5597556705138,1494.2807261517798,1.0,1.5,0.5
1990-05-26,Gambia,Burkina Faso,0,0,Friendly,False,1476.9045277327955,1500.0,0.0,1.0,0.5
1990-05-26,Turkey,Republic of Ireland,0,0,Friendly,False,1492.9473428448955,1512.1069825063632,0.0,2.3333333333333335,0.5
1990-05-26,Bermuda,Barbados,1,1,CFU Caribbean Cup qualification,False,1495.7033728549204,1531.6601586878376,1.4,2.4,0.5
1990-05-27,Antigua and Barbuda,Saint Lucia,0,2,CFU Caribbean Cup qualification,False,1471.0172282263245,1473.0585201299443,0.25,0.0,0.5
1990-05-27,Curaçao,Suriname,1,1,CFU Caribbean Cup qualification,False,1505.1403952019623,1485.2821717145462,1.0,1.0,0.5
1990-05-27,Georgia,Lithuania,2,2,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-05-27,Guyana,Grenada,0,0,CFU Caribbean Cup qualification,False,1483.263504786211,1512.9406216605576,0.5,2.0,0.5
1990-05-27,Sweden,Finland,6,0,Friendly,False,1528.2156813479844,1509.374677996437,1.6,1.25,0.5
1990-05-28,Malta,Scotland,1,2,Friendly,False,1476.8213390835808,1471.652562791072,0.3333333333333333,1.0,0.5
1990-05-28,Hungary,United Arab Emirates,3,0,Friendly,True,1480.404973575754,1440.3525641852707,1.0,0.4,0.5
1990-05-29,Bermuda,Barbados,3,0,Friendly,False,1493.8806584203944,1533.4828731223636,1.6,2.0,0.0
1990-05-30,Liechtenstein,United States,1,4,Friendly,False,1500.0,1488.440729468636,1.0,1.8,0.5
1990-05-30,Italy,Greece,0,0,Friendly,False,1515.5281326144718,1517.7129085149452,2.0,3.0,0.5
1990-05-30,Iceland,Albania,2,0,UEFA Euro qualification,False,1519.446565774928,1500.0,2.0,1.0,0.5
1990-05-30,Germany,Denmark,1,0,Friendly,False,1498.091501767552,1505.4990638510665,1.3333333333333333,1.25,0.5
